"OBJECTID","FNAME","CLASS","DESCRIPTIO","COORD_X","COORD_Y","admin1Name","admin1Pcod","admin2Name","admin2Pcod","admin0Name","admin0Pcod","rowcacode0","Pcod1_iso3","Pcod2_iso3","coords.x1","coords.x2","optional"
"229","Gbawaken",3,"Capital of District",-7.72917,4.705,"Maryland","LR10","Karluway#2","LR1004","Liberia","LR","LBR","LBR010","LBR010004",-7.72916999999995,4.70500000000004,TRUE
"230","Tatplah",0,NA,-8.07881,4.70623,"Grand Kru","LR07","Grand Cess Wedabo","LR0712","Liberia","LR","LBR","LBR007","LBR007012",-8.07880999999998,4.70623000000006,TRUE
"231","Gbeaken",0,NA,-7.78108,4.70742,"Maryland","LR10","Karluway#1","LR1003","Liberia","LR","LBR","LBR010","LBR010003",-7.78107999999997,4.70742000000007,TRUE
"232","Henriesville City,Fil",0,NA,-8.15845,4.70757,"Grand Kru","LR07","Barclayville","LR0701","Liberia","LR","LBR","LBR007","LBR007001",-8.15844999999996,4.70757000000003,TRUE
"233","Betu City",0,NA,-8.47609,4.70824,"Grand Kru","LR07","Upper Jloh","LR0717","Liberia","LR","LBR","LBR007","LBR007017",-8.47608999999994,4.70824000000005,TRUE
"234","Yobloken",0,NA,-7.56534,4.71654,"Maryland","LR10","Karluway#2","LR1004","Liberia","LR","LBR","LBR010","LBR010004",-7.56533999999994,4.71654000000007,TRUE
"235","Karwalaken",0,NA,-8.00259,4.71799,"Grand Kru","LR07","Bleebo","LR0702","Liberia","LR","LBR","LBR007","LBR007002",-8.00258999999994,4.71799000000004,TRUE
"236","Gbalboken",0,NA,-8.04696,4.71821,"Grand Kru","LR07","Grand Cess Wedabo","LR0712","Liberia","LR","LBR","LBR007","LBR007012",-8.04695999999996,4.71821000000006,TRUE
"237","Wutuken",0,NA,-7.88973,4.71979,"Grand Kru","LR07","Trenbo","LR0716","Liberia","LR","LBR","LBR007","LBR007016",-7.88972999999993,4.71979000000005,TRUE
"238","Manolu #1",0,NA,-7.72059,4.72033,"Maryland","LR10","Karluway#2","LR1004","Liberia","LR","LBR","LBR010","LBR010004",-7.72058999999996,4.72033000000005,TRUE
"239","Joploken",0,NA,-8.11635,4.72155,"Grand Kru","LR07","Barclayville","LR0701","Liberia","LR","LBR","LBR007","LBR007001",-8.11634999999995,4.72155000000004,TRUE
"240","Geneken",0,NA,-8.02653,4.72268,"Grand Kru","LR07","Grand Cess Wedabo","LR0712","Liberia","LR","LBR","LBR007","LBR007012",-8.02652999999998,4.72268000000003,TRUE
"241","Sorroken City",0,NA,-7.90661,4.72442,"Grand Kru","LR07","Trenbo","LR0716","Liberia","LR","LBR","LBR007","LBR007016",-7.90660999999994,4.72442000000007,TRUE
"242","Mandu # 2",0,NA,-7.70535,4.72485,"Maryland","LR10","Karluway#2","LR1004","Liberia","LR","LBR","LBR010","LBR010004",-7.70534999999995,4.72485000000006,TRUE
"243","Blebo B",0,NA,-7.95522,4.72508,"Grand Kru","LR07","Bleebo","LR0702","Liberia","LR","LBR","LBR007","LBR007002",-7.95521999999994,4.72508000000005,TRUE
"244","Sargbaken",0,NA,-7.90527,4.72894,"Grand Kru","LR07","Trenbo","LR0716","Liberia","LR","LBR","LBR007","LBR007016",-7.90526999999997,4.72894000000002,TRUE
"245","Blebo",3,"Capital of District",-7.95167,4.72944,"Grand Kru","LR07","Bleebo","LR0702","Liberia","LR","LBR","LBR007","LBR007002",-7.95166999999998,4.72944000000007,TRUE
"246","Blebo A",0,NA,-7.95298,4.73182,"Grand Kru","LR07","Bleebo","LR0702","Liberia","LR","LBR","LBR007","LBR007002",-7.95297999999997,4.73182000000003,TRUE
"247","Nye-wissiken",0,NA,-7.63969,4.73433,"Maryland","LR10","Karluway#2","LR1004","Liberia","LR","LBR","LBR010","LBR010004",-7.63968999999997,4.73433000000006,TRUE
"248","Genwien",0,NA,-8.03242,4.73585,"Grand Kru","LR07","Barclayville","LR0701","Liberia","LR","LBR","LBR007","LBR007001",-8.03241999999995,4.73585000000003,TRUE
"249","Gedebo Toen",0,NA,-7.90566,4.73586,"Grand Kru","LR07","Trenbo","LR0716","Liberia","LR","LBR","LBR007","LBR007016",-7.90565999999995,4.73586000000006,TRUE
"250","Otiken",0,NA,-8.05606,4.73865,"Grand Kru","LR07","Barclayville","LR0701","Liberia","LR","LBR","LBR007","LBR007001",-8.05605999999995,4.73865000000006,TRUE
"251","Nifu",0,NA,-8.53717,4.74388,"Grand Kru","LR07","Upper Jloh","LR0717","Liberia","LR","LBR","LBR007","LBR007017",-8.53716999999995,4.74388000000005,TRUE
"252","Yorken",0,NA,-7.56541,4.74869,"Maryland","LR10","Karluway#2","LR1004","Liberia","LR","LBR","LBR010","LBR010004",-7.56540999999993,4.74869000000007,TRUE
"253","Dayokpo",0,NA,-8.36176,4.74872,"Grand Kru","LR07","Felo-Jekwi","LR0707","Liberia","LR","LBR","LBR007","LBR007007",-8.36175999999995,4.74872000000005,TRUE
"254","Nyewraken",0,NA,-7.66252,4.7509,"Maryland","LR10","Karluway#2","LR1004","Liberia","LR","LBR","LBR010","LBR010004",-7.66251999999997,4.75090000000006,TRUE
